pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4fp8	H	L	0	A	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/21/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin, HA1 subunit	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	2.947	X-RAY DIFFRACTION	0.241	0.212	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fp8	K	O	0	D	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/21/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin, HA1 subunit	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	2.947	X-RAY DIFFRACTION	0.241	0.212	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fp8	J	N	0	C	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/21/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin, HA1 subunit	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	2.947	X-RAY DIFFRACTION	0.241	0.212	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6jep	H	L	0	E	protein	NA	genome polyprotein	ANTIVIRAL PROTEIN	02/07/19	Structure of a neutralizing antibody bound to the Zika envelope protein domain III	HOMO SAPIENS; ZIKA VIRUS	homo sapiens	homo sapiens	zika virus	Wang, L., Wang, R.K., Wang, L., Ben, H.J., Yu, L., Gao, F., Shi, X.L., Yin, C.B., Zhang, F.C., Xiang, Y., Zhang, L.Q.	2.316	X-RAY DIFFRACTION	0.219	0.166	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6jep	K	I	0	F	protein	NA	genome polyprotein	ANTIVIRAL PROTEIN	02/07/19	Structure of a neutralizing antibody bound to the Zika envelope protein domain III	HOMO SAPIENS; ZIKA VIRUS	homo sapiens	homo sapiens	zika virus	Wang, L., Wang, R.K., Wang, L., Ben, H.J., Yu, L., Gao, F., Shi, X.L., Yin, C.B., Zhang, F.C., Xiang, Y., Zhang, L.Q.	2.316	X-RAY DIFFRACTION	0.219	0.166	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
1rzf	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/24/03	Crystal structure of Human anti-HIV-1 GP120-reactive antibody E51	HOMO SAPIENS	homo sapiens	homo sapiens		Huang, C.C., Venturi, M., Majeed, S., Moore, M.J., Phogat, S., Zhang, M.-Y., Dimitrov, D.S., Hendrickson, W.A., Robinson, J., Sodroski, J., Wyatt, R., Choe, H., Farzan, M., Kwong, P.D.	1.7	X-RAY DIFFRACTION	0.232	0.198	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
5f89	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/09/15	Structure of the Unliganded Fab from HIV-1 Neutralising Antibody CAP248-2B that Binds to the gp120 C-terminus - gp41 Interface	HOMO SAPIENS	homo sapiens	homo sapiens		Wibmer, C.K., Gorman, J., Kwong, P.D.	2.7842	X-RAY DIFFRACTION	0.279	0.228	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
5f89	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/09/15	Structure of the Unliganded Fab from HIV-1 Neutralising Antibody CAP248-2B that Binds to the gp120 C-terminus - gp41 Interface	HOMO SAPIENS	homo sapiens	homo sapiens		Wibmer, C.K., Gorman, J., Kwong, P.D.	2.7842	X-RAY DIFFRACTION	0.279	0.228	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
5cex	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/07/15	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	HOMO SAPIENS	homo sapiens	homo sapiens		Garces, F., Wilson, I.A.	2.105	X-RAY DIFFRACTION	0.244	0.200	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
5cex	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/07/15	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	HOMO SAPIENS	homo sapiens	homo sapiens		Garces, F., Wilson, I.A.	2.105	X-RAY DIFFRACTION	0.244	0.200	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
8eee	H	L	0	E	protein	NA	envelope protein e	VIRAL PROTEIN/IMMUNE SYSTEM	08/30/23	Crystal structure of a NHP anti-ZIKV neutralizing antibody rhMZ104-d in complex with ZIKV E glycoprotein	Macaca mulatta; Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	macaca mulatta	macaca mulatta	zika virus zikv/h.sapiens/frenchpolynesia/10087pf/2013 	Sankhala, R.S., Joyce, M.G.	2.819	X-RAY DIFFRACTION	0.275	0.217	False	True	IGHV3	IGLV11	Lambda	None	None	None	None	None
8eee	A	B	0	Z	protein	NA	envelope protein e	VIRAL PROTEIN/IMMUNE SYSTEM	08/30/23	Crystal structure of a NHP anti-ZIKV neutralizing antibody rhMZ104-d in complex with ZIKV E glycoprotein	Macaca mulatta; Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	macaca mulatta	macaca mulatta	zika virus zikv/h.sapiens/frenchpolynesia/10087pf/2013 	Sankhala, R.S., Joyce, M.G.	2.819	X-RAY DIFFRACTION	0.275	0.217	False	True	IGHV3	IGLV11	Lambda	None	None	None	None	None
4ut6	I	M	0	B	protein	NA	envelope glycoprotein e	VIRAL PROTEIN	07/18/14	Crystal structure of dengue 2 virus envelope glycoprotein in complex  with the Fab fragment of the broadly neutralizing human antibody EDE2  B7	HOMO SAPIENS; DENGUE VIRUS 2	homo sapiens	homo sapiens	dengue virus 2	ROUVINSKI, A., GUARDADO-CALVO, P., BARBA-SPAETH, G., DUQUERROY, S., VANEY, M.C., REY, F.A.	3.2	X-RAY DIFFRACTION	0.2500	0.2120	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4ut6	H	L	0	A	protein	NA	envelope glycoprotein e	VIRAL PROTEIN	07/18/14	Crystal structure of dengue 2 virus envelope glycoprotein in complex  with the Fab fragment of the broadly neutralizing human antibody EDE2  B7	HOMO SAPIENS; DENGUE VIRUS 2	homo sapiens	homo sapiens	dengue virus 2	ROUVINSKI, A., GUARDADO-CALVO, P., BARBA-SPAETH, G., DUQUERROY, S., VANEY, M.C., REY, F.A.	3.2	X-RAY DIFFRACTION	0.2500	0.2120	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
6qn8	E	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6qn8	C	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6qn8	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6qn8	G	I	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6qn8	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6qn8	J	K	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/10/19	Structure of bovine anti-RSV Fab B13	BOS TAURUS	bos taurus	bos taurus		Ren, J., Nettleship, J.E., Harris, G., Mwangi, W., Rhaman, N., Grant, C., Kotecha, A., Fry, E., Charleston, B., Stuart, D.I., Hammond, J., Owens, R.J.	2.12	X-RAY DIFFRACTION	0.267	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7n4j	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/04/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing human antibody WRAIR-2173.	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sankhala, R.S., Joyce, M.G.	2.207	X-RAY DIFFRACTION	0.207	0.172	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
6lxj	M	N	0	D	protein	NA	neuraminidase	HYDROLASE/IMMUNE SYSTEM	02/11/20	Crystal structure of human Z2B3 Fab in complex with influenza virus neuraminidase from A/Anhui/1/2013 (H7N9)	INFLUENZA A VIRUS (A/ANHUI/1-BALF_RG44/2013(H7N9)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1-balf_rg44/2013(h7n9)) 	Jiang, H., Peng, W., Qi, J., Chai, Y., Song, H., Shi, Y., Gao, G.F., Wu, Y.	2.903	X-RAY DIFFRACTION	0.241	0.193	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6lxj	E	F	0	B	protein	NA	neuraminidase	HYDROLASE/IMMUNE SYSTEM	02/11/20	Crystal structure of human Z2B3 Fab in complex with influenza virus neuraminidase from A/Anhui/1/2013 (H7N9)	INFLUENZA A VIRUS (A/ANHUI/1-BALF_RG44/2013(H7N9)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1-balf_rg44/2013(h7n9)) 	Jiang, H., Peng, W., Qi, J., Chai, Y., Song, H., Shi, Y., Gao, G.F., Wu, Y.	2.903	X-RAY DIFFRACTION	0.241	0.193	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6lxj	H	L	0	A	protein	NA	neuraminidase	HYDROLASE/IMMUNE SYSTEM	02/11/20	Crystal structure of human Z2B3 Fab in complex with influenza virus neuraminidase from A/Anhui/1/2013 (H7N9)	INFLUENZA A VIRUS (A/ANHUI/1-BALF_RG44/2013(H7N9)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1-balf_rg44/2013(h7n9)) 	Jiang, H., Peng, W., Qi, J., Chai, Y., Song, H., Shi, Y., Gao, G.F., Wu, Y.	2.903	X-RAY DIFFRACTION	0.241	0.193	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6lxj	J	K	0	C	protein	NA	neuraminidase	HYDROLASE/IMMUNE SYSTEM	02/11/20	Crystal structure of human Z2B3 Fab in complex with influenza virus neuraminidase from A/Anhui/1/2013 (H7N9)	INFLUENZA A VIRUS (A/ANHUI/1-BALF_RG44/2013(H7N9)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1-balf_rg44/2013(h7n9)) 	Jiang, H., Peng, W., Qi, J., Chai, Y., Song, H., Shi, Y., Gao, G.F., Wu, Y.	2.903	X-RAY DIFFRACTION	0.241	0.193	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
5u3j	H	L	0	A	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM/VIRAL PROTEIN	12/02/16	Crystal Structure of DH511.1 Fab in Complex with HIV-1 gp41 MPER Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Wu, L., Lougheed, C.S., Williams, L.D., Nicely, N.I., Haynes, B.F.	2.74	X-RAY DIFFRACTION	0.264	0.229	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4m1d	I	M	0	Q	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
4m1d	H	L	0	P	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
3thm	H	L	0	F	protein	NA	tumor necrosis factor receptor superfamily member 6	IMMUNE SYSTEM	08/19/11	Crystal structure of Fas receptor extracellular domain in complex with Fab EP6b_B01	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zuger, S., Stirnimann, C., Briand, C., Grutter, M.G.	2.1	X-RAY DIFFRACTION	0.221	0.183	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
6e3h	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	viral protein/immune system	07/14/18	Crystal structure of S9-3-37 bound to H5 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Wu, N.C., Wilson, I.A.	2.9	X-RAY DIFFRACTION	0.248	0.205	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
4hf5	H	L	0	A	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	10/04/12	Crystal structure of Fab 8F8 in complex a H2N2 influenza virus hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Xu, R., Wilson, I.A.	3.004	X-RAY DIFFRACTION	0.282	0.229	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
3u46	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/07/11	CH04H/CH02L P212121	HOMO SAPIENS	homo sapiens	homo sapiens		Louder, R., Pancera, M., McLellan, J.S., Kwong, P.D.	2.906	X-RAY DIFFRACTION	0.245	0.215	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
3u46	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/07/11	CH04H/CH02L P212121	HOMO SAPIENS	homo sapiens	homo sapiens		Louder, R., Pancera, M., McLellan, J.S., Kwong, P.D.	2.906	X-RAY DIFFRACTION	0.245	0.215	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6mtn	H	L	0	G	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM/INHIBITOR	10/20/18	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor Compound 484 in Complex with Human Antibodies 3H109L and 35O22 at 3.0 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Lai, Y.-T., Kwong, P.D.	2.5	X-RAY DIFFRACTION	0.263	0.223	False	True	IGHV4	unknown	unknown	None	None	None	None	None
6mtn	D	E	0	B	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM/INHIBITOR	10/20/18	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor Compound 484 in Complex with Human Antibodies 3H109L and 35O22 at 3.0 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Lai, Y.-T., Kwong, P.D.	2.5	X-RAY DIFFRACTION	0.263	0.223	False	True	unknown	unknown	unknown	None	None	None	None	None
5d1q	B	A	0	E	protein	NA	iron-regulated surface determinant protein b	IMMUNE SYSTEM	08/04/15	IsdB NEAT2 bound by clone D2-06	HOMO SAPIENS; STAPHYLOCOCCUS AUREUS (STRAIN BOVINE RF122 / ET3-1)	homo sapiens	homo sapiens	staphylococcus aureus (strain bovine rf122 /et3-1) 	Deng, X.	3.22	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5d1q	C	D	0	E	protein	NA	iron-regulated surface determinant protein b	IMMUNE SYSTEM	08/04/15	IsdB NEAT2 bound by clone D2-06	HOMO SAPIENS; STAPHYLOCOCCUS AUREUS (STRAIN BOVINE RF122 / ET3-1)	homo sapiens	homo sapiens	staphylococcus aureus (strain bovine rf122 /et3-1) 	Deng, X.	3.22	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5feh	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/17/15	Crystal structure of PCT64_35B, a broadly neutralizing anti-HIV antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Murrell, S., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.279	0.259	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5feh	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/17/15	Crystal structure of PCT64_35B, a broadly neutralizing anti-HIV antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Murrell, S., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.279	0.259	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5feh	F	E	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/17/15	Crystal structure of PCT64_35B, a broadly neutralizing anti-HIV antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Murrell, S., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.279	0.259	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
3q6g	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of rhesus mAb 2.5B specific for quaternary neutralizing epitope of HIV-1 gp120	MACACA MULATTA	macaca mulatta	macaca mulatta		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	1.902	X-RAY DIFFRACTION	0.231	0.191	False	False	IGHV4	IGLV3	Lambda	None	None	None	None	None
3q6g	I	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of rhesus mAb 2.5B specific for quaternary neutralizing epitope of HIV-1 gp120	MACACA MULATTA	macaca mulatta	macaca mulatta		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	1.902	X-RAY DIFFRACTION	0.231	0.191	False	False	IGHV4	IGLV3	Lambda	None	None	None	None	None
8v2e	A	B	0	C	protein	NA	10e8 epitope scaffold b055	IMMUNE SYSTEM	06/12/24	Crystal structure of B055 scaffold boost immunogen in complex with a mature 10E8 Fab	Homo sapiens; synthetic construct	homo sapiens	homo sapiens	synthetic construct	Cho, S.Y., Wilson, I.A.	2.62	X-RAY DIFFRACTION	0.276	0.228	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
