Target;Type;Res;Oligo.State;Entry Date; Server Exp.;Human Exp.;QA Exp.;Cancellation Date;Description;
T1137s7;All groups;653;A1;2022-06-02;2022-06-05;2022-06-23;-;-;8fef;
T1137s8;All groups;266;A1;2022-06-02;2022-06-05;2022-06-23;-;-;8fef;
T1137s9;All groups;289;A1;2022-06-02;2022-06-05;2022-06-23;-;-;8fef;
H1137;All groups;3939;A1B1C1D1 E1F1G2H1I1;2022-06-03;2022-06-06;2022-06-24;2022-06-27;-;8fef;
R1138;RNA;720;A1;2022-06-03;2022-06-06;2022-06-24;-;-;7ptl;
H1140;All groups;351;A1B1;2022-06-06;2022-06-09;2022-06-27;2022-06-30;-;9ert;
T1139;All groups;317;A1;2022-06-06;2022-06-09;2022-06-27;-;-;Q99549   ;
H1141;All groups;346;A1B1;2022-06-07;2022-06-10;2022-06-28;2022-07-01;-;9eru;
T1145;All groups;635;A1;2022-06-07;2022-06-10;2022-06-28;-;-;7uww;
H1142;All groups;347;A1B1;2022-06-08;2022-06-11;2022-06-29;2022-07-02;-;9erw;
T1146;All groups /Ligand;310;A1;2022-06-08;2022-06-18;2022-06-29;-;-;Bd0601 Q6MQ80   ;
H1143;All groups;350;A1B1;2022-06-09;2022-06-12;2022-06-30;2022-07-03;-;9etj;
T1147;All groups;103;A1;2022-06-09;2022-06-12;2022-06-30;-;-;8em5;
H1144;All groups;341;A1B1;2022-06-10;2022-06-13;2022-07-01;2022-07-04;-;9etl;
R1149;RNA;124;A1;2022-06-10;2022-06-13;2022-07-02;-;-;8uys;
T1148;Server only;177;A1;2022-06-10;2022-06-13;2022-07-01;-;2022-06-15;Q9H1R2   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.  <br>Canceled (no ligand).</font></em>;
H1151;All groups;228;A1B1;2022-06-13;2022-06-16;2022-07-04;2022-07-07;-;8d5v;
T1150;All groups;370;A1;2022-06-13;2022-06-16;2022-07-04;-;-;S0ET42_CHTCT   ;
T1151s2;All groups;116;A1;2022-06-13;2022-06-16;2022-07-04;-;-;8d5v;
T1152;All groups /Ligand;56;A2;2022-06-14;2022-06-17;2022-07-05;2022-07-08;-;7r1l;
T1153;All groups;299;A2;2022-06-14;2022-06-17;2022-07-05;2022-07-08;-;Q7L9B9   ;
R1117v2;RNA /Ligand;30;A1;2022-06-15;2022-06-18;2022-07-06;-;-;8fza;
T1127v2;Server /Ligand;211;A2;2022-06-15;2022-06-18;2022-07-06;2022-07-09;-;Q9ZV05 8xbp  <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>;
T1154;All groups;1424;A1;2022-06-15;2022-06-18;2022-07-06;-;-;7zcx;
R1156;RNA;135;A1;2022-06-16;2022-06-19;2022-07-07;-;-;8uye, 8uyg, 8uyj;
T1155;All groups;116;A1;2022-06-16;2022-06-19;2022-07-07;-;-;8pbv;
H1157;All groups;1524;A1B1;2022-06-17;2022-06-20;2022-07-08;2022-07-11;-;8pko;
T1157s1;All groups;1029;A1;2022-06-17;2022-06-20;2022-07-08;-;-;8pko;
T1157s2;All groups;495;A1;2022-06-17;2022-06-20;2022-07-08;-;-;8pko;
T1158;All groups;1340;A1;2022-06-20;2022-06-23;2022-07-11;-;-;8sxa;
T1159;All groups;160;A1;2022-06-20;2022-06-23;2022-07-11;-;-;7pzt;
T1158v1;Server /Ligand;1340;A1;2022-06-21;2022-06-24;2022-07-12;-;-;8sx8;
T1160;All groups;48;A2;2022-06-21;2022-06-24;2022-07-12;2022-07-15;-;8jvn;
T1161;All groups;48;A2;2022-06-21;2022-06-24;2022-07-12;2022-07-15;-;8jvp;
T1158v2;Server /Ligand;1340;A1;2022-06-22;2022-06-25;2022-07-13;-;-;8sxb;
T1162;All groups;196;A1;2022-06-22;2022-06-25;2022-07-13;-;-;SAG 16   ;
T1158v3;Server /Ligand;1340;A1;2022-06-23;2022-06-26;2022-07-14;-;-;8sx7;
T1163;All groups;191;A1;2022-06-23;2022-06-26;2022-07-14;-;-;SAG 91   ;
T1158v4;Server /Ligand;1340;A1;2022-06-24;2022-06-27;2022-07-15;-;-;8swn;
T1165;All groups;3014;A1;2022-06-27;2022-07-02;2022-07-25;-;-;Modified ligase Tom1   ;
H1166;All groups;577;A1B1C1;2022-06-29;2022-07-02;2022-07-20;2022-07-23;-;;
H1167;All groups;560;A1B1C1;2022-06-30;2022-07-03;2022-07-21;2022-07-24;-;;
H1168;All groups;567;A1B1C1;2022-07-01;2022-07-04;2022-07-22;2022-07-25;-;;
T1169;All groups;3364;A1;2022-07-04;2022-07-10;2022-08-01;-;-;8fjp;
T1170;All groups /Ligand;318;A6;2022-07-06;2022-07-09;2022-07-27;2022-07-30;-;7pbr;
H1171;All groups /Ligand;366;A6B1;2022-07-07;2022-07-10;2022-07-28;2022-07-31;-;7pbl;
H1172;All groups /Ligand;366;A6B2;2022-07-07;2022-07-10;2022-07-28;2022-07-31;-;7pbp;
T1173;All groups;204;A3;2022-07-08;2022-07-11;2022-07-29;2022-08-01;-;8on4;
T1182;All groups;544;A1;2022-07-08;2022-07-11;2022-07-29;-;-;Bd1177 Q6MNR1   ;
T1174;All groups;338;A3;2022-07-11;2022-07-14;2022-08-01;2022-08-04;-;8ok3;
T1175;All groups;312;A1;2022-07-11;2022-07-14;2022-08-01;-;-;idp97526   ;
T1176;All groups;170;A8;2022-07-12;2022-07-15;2022-08-02;2022-08-05;-;8smq;
T1177;All groups;223;A1;2022-07-12;2022-07-15;2022-08-02;-;-;idp97510   ;
T1178;All groups;306;A2;2022-07-13;2022-07-16;2022-08-03;2022-08-06;-;8ufn;
T1179;All groups;261;A2;2022-07-13;2022-07-16;2022-08-03;2022-08-06;-;8tn8;
T1180;All groups;404;A1;2022-07-14;2022-07-17;2022-08-04;-;-;R7C7N8   ;
T1181;All groups /Ligand;688;A3;2022-07-14;2022-07-17;2022-08-04;2022-08-07;-;G0XNW6   ;
T1183;All groups;200;A1;2022-07-15;2022-07-18;2022-08-05;-;-;8ifx;
T1184;All groups;171;A3;2022-07-15;2022-07-18;2022-08-05;2022-08-08;-;WP_011164940.1   ;
H1185;All groups;1334;A1B1C1D1;2022-07-18;2022-07-23;2022-08-15;2022-08-18;-;8ouy;
T1185s1;All groups;350;A1;2022-07-18;2022-07-23;2022-08-15;-;-;8ouy;
T1185s2;All groups;376;A1;2022-07-18;2022-07-23;2022-08-15;-;-;8ouy;
T1185s4;All groups;280;A1;2022-07-18;2022-07-23;2022-08-15;-;-;8ouy;
T1186;Server /Ligand;259;A1;2022-07-19;2022-07-22;2022-08-09;-;-;beta-lactamase with dicloxacillin   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>;
T1187;All groups /Ligand;166;A2;2022-07-20;2022-07-23;2022-08-10;2022-08-13;-;8ad2;
T1188;All groups /Ligand;630;A1;2022-07-20;2022-07-23;2022-08-10;-;-;8c6z;
R1189;RNA;173;A1B6;2022-07-21;2022-07-24;2022-08-11;-;-;7YR7;
R1190;RNA;173;A1B4;2022-07-21;2022-07-24;2022-08-11;-;-;7yr6;
T1189;All groups;173;A1B6;2022-07-21;2022-07-24;2022-08-11;2022-08-14;-;7yr7;
T1190;All groups;173;A1B4;2022-07-21;2022-07-24;2022-08-11;2022-08-14;-;7yr6;
T1191;All groups;1770;A1;2022-07-22;2022-07-25;2022-08-12;-;2022-09-13;Bee blood protein   <em><font color=red>Canceled (no reliable reference structure).</font></em>;
T1192;All groups;418;A10;2022-07-25;2022-07-28;2022-08-16;2022-08-19;-;;
T1193;All groups;1297;A1;2022-07-26;2022-07-29;2022-08-16;-;2022-09-13;tunaPgp   <em><font color=red>Canceled (no target structure).</font></em>;
T1194;All groups;168;A1;2022-07-27;2022-07-30;2022-08-17;-;-;8okh;
T1195;All groups;279;A1;2022-07-27;2022-07-30;2022-08-17;-;-;BRAF kinase domain   ;
T1196;All groups;361;A1;2022-07-28;2022-07-31;2022-08-18;-;-;p38a kinase domain   ;
T1197;All groups;289;A1;2022-07-29;2022-08-01;2022-08-19;-;-;Src kinase domain   ;
